Title,Id,Year,Seasons,Maturity Rating,Genre,Synopsis
KENGAN ASHURA,80992228,2019,2,18+ ,TV Shows,"Ohma Tokita enters a hidden world where corporate disputes are settled in brutal gladiator bouts. Forget the money, he just wants to fight -- and win."
BAKI,80204451,2018,2,18+ ,TV Shows,"While martial arts champion Baki Hanma trains hard to surpass his legendary father, five violent death row inmates descend upon Tokyo to take him on."
​SAINT SEIYA: Knights of the Zodiac,80186926,2019,2,16+ ,TV Shows,"Seiya and the Knights of the Zodiac rise again to protect the reincarnation of the goddess Athena, but a dark prophecy hangs over them all."
Castlevania,80095241,2017,2,18+ ,TV Shows,A vampire hunter fights to save a besieged city from an army of otherworldly beasts controlled by Dracula himself. Inspired by the classic video games.
Kakegurui,80175351,2017,2,16+ ,TV Shows,"High roller Yumeko Jabami plans to clean house at Hyakkaou Private Academy, a school where students are evaluated solely on their gambling skills."
Magi: Adventure of Sinbad,80103331,2016,1,16+ ,TV Shows,The Magi who became High King of the Seven Seas started as a boy determined to make the world a better place. He begins with a dangerous dungeon.
Violet Evergarden,80182123,2018,1,16+ ,Anime based on Light Novels,"The war is over, and Violet Evergarden needs a job. Scarred and emotionless, she takes a job as a letter writer to understand herself and her past."
The Disastrous Life of Saiki K.: Reawakened,81054849,2019,1,13+ ,Comedy Anime,"Kusuo and his gaggle of self-proclaimed friends are back for more psychic mishaps. If he didn't have enough problems before, he's got even more now."
Cagaster of an Insect Cage,80224581,2020,1,18+ ,TV Shows,"Thirty years after a disease that turns the infected into carnivorous insects emerged, a young exterminator and a teenage girl search for her mother."
Teasing Master Takagi-san,80228274,2018,1,13+ ,Comedy Anime,"Teased constantly by classmate Takagi-san, middle-schooler Nishikata swears payback by trying (and failing) to give her a dose of her own medicine."
SWORDGAI The Animation,80175350,2018,2,18+ ,TV Shows,"A young man becomes host to a legendary infernal sword and, with the fate of humanity now in his arm, wields its demonic power against his enemies."
Devilman Crybaby,80174974,2018,1,18+ ,TV Shows,"With demons reawakened and humanity in turmoil, a sensitive demon-boy is led into a brutal, degenerate war against evil by his mysterious friend, Ryo."
Ultraman,80231373,2019,1,16+ ,Seinen Anime,"Decades ago, a hero from the stars left this world in peace. Now, the son of Ultraman must rise to protect the Earth from a new alien threat."
B: The Beginning,80097594,2018,1,18+ ,TV Shows,"Genius investigator Keith Flick rejoins the royal police force just as serial killer ""B"" emerges. Mysterious youth Koku may be an ally, or a target."
Fate/Apocrypha,80180849,2017,2,18+ ,TV Shows,The theft of the Greater Grail from Fuyuki City leads to a splintered timeline in which the Great Holy Grail War is waged on an unprecedented scale.
7SEEDS,80183051,2019,1,16+ ,TV Shows,"Shy Natsu awakens as part of a group chosen to ensure the survival of humanity. Together, they have to survive on a changed Earth."
Ultramarine Magmell,81019771,2019,1,16+ ,TV Shows,"Decades after the sudden birth of a new continent, a young rescuer-for-hire provides aid to adventurers exploring this dangerous, uncharted world."
Little Witch Academia,80156387,2017,2,7+ ,TV Shows,"Akko enrolls at the Luna Nova Witchcraft Academy. She's not the best student, but her bright attitude is the key to her and her friends' success."
CAROLE & TUESDAY,80992137,2019,2,18+ ,TV Shows,"Part-timer Carole meets rich girl Tuesday, and each realizes they've found the musical partner they need. Together, they just might make it."
Hi Score Girl,80997338,2018,1,16+ ,Comedy Anime,"A chronic gamer abysmally inept in academics and sports finally meets his match at his usual shady arcade -- and it’s his rich classmate, Akira."
AJIN: Demi-Human,80043576,2016,2,16+ ,Seinen Anime,A teenager discovers that he is an Ajin and flees before the authorities experiment on him. Other Ajin plan to fight back and he must choose a side.
Sirius the Jaeger,80997339,2018,1,16+ ,TV Shows,"In imperial Tokyo, a group calling themselves ""Jaegers"" secretly hunt the vampires seeking the Ark of Sirius. Among them is young werewolf, Yuliy."
Forest of Piano,80986797,2018,2,13+ ,Seinen Anime,Kai grows up playing an old piano discarded in the woods; Shuhei's father is a famous pianist. Their chance meeting transforms their lives and music.
Seis Manos,80217066,2019,1,18+ ,TV Shows,"Orphans raised by a martial arts master are plunged into a mystery involving demonic powers, drug cartels, ancient rituals and blood sacrifice."
Back Street Girls -GOKUDOLS-,80996957,2018,1,18+ ,Comedy Anime,"To pay for an epic blunder, three yakuza brothers are forced to alter their bodies, form a girl group and break into the underground J-Pop idol scene."
Levius,80156799,2019,1,16+ ,Seinen Anime,Young Levius rises through the ranks in the brutal world of metal boxing under his uncle's guidance. Forces outside the ring have their eye on him.
Aggretsuko,80198505,2018,2,16+ ,Comedy Anime,"Frustrated with her thankless office job, Retsuko the Red Panda copes with her daily struggles by belting out death metal karaoke after work."
Kabaneri of the Iron Fortress: The Battle of Unato,81095103,2019,1,18+ ,TV Shows,"Ikoma and the Iron Fortress take their fight to the battlegrounds of Unato, joining the alliance to reclaim the region from the kabane horde."
